day,session,title,authors,track,room,start_time,duration_min
2025-10-09,3D Display 1,Dynamic Eyebox Steering for Improved Pinlight AR Near-eye Displays,"Xinxing Xia, Zheye Yu, Dongyu Qiu, Andrei State, Tat-Jen Cham, Frank Guan, Henry Fuchs",Displays,Room 201,10:30,60
2025-10-09,3D Display 1,GS-ProCams: Gaussian Splatting-Based Projector-Camera Systems,"Qingyue Deng, Jijiang Li, Haibin Ling, Bingyao Huang",Displays,Room 201,10:30,60
2025-10-09,3D Display 1,Multi-illumination-interfered Neural Holography with Expanded Eyebox,"Xinxing Xia, Pengfei Mi, Yiqing Tao, Xiangyu Meng, Wenbin Zhou, Yingjie Yu, Yifan Peng",Displays,Room 201,10:30,60
2025-10-09,3D Display 1,A Handheld Stiffness Display with a Programmable Spring and Electrostatic Clutches,"Ke Shi, Quan Xiong, Maozeng Zhang, Aiguo Song, Lifeng Zhu",Displays,Room 201,10:30,60
2025-10-09,Agents Design,Virtual Roomie: Immersive Layout Co-design with a Virtual Agent,"Angela L. Jimenez, Pedro Acevedo, Christos Mousas",Agents,Room 202,10:30,60
2025-10-09,Agents Design,HAT Swapping: Virtual Agents as Stand-ins for Absent Human Instructors,"Jingjing Zhang, Binyang Han, Ze Dong, Jack Topliss, Mamehgol Yousefi, Gun A. Lee, Simon Hoermann, Wendy Zhang, Thammathip Piumsomboon",Agents,Room 202,10:30,60
2025-10-09,Agents Design,Laughing Together: Virtual Agents in Emotional Contagion in a Stand-Up Comedy Club,"Similde Mair, Fariba Mostajeran, Joan Llobera, Mel Slater, Frank Steinicke",Agents,Room 202,10:30,60
2025-10-09,Agents Design,An Embodied AR Navigation Agent: Integrating BIM with Retrieval-Augmented Generation,"Hsuan-Kung Yang, Tsu-Ching Hsiao, Ryoichiro Oka, Ryuya Nishino, Satoko Tofukuji, Norimasa Kobori",Agents,Room 202,10:30,60
2025-10-09,Machine Learning and Graphics,Enhanced Velocity Field Modeling for Gaussian Video Reconstruction,"Zhenyang Li, Xiaoyang Bai, Tongchen Zhang, Pengfei Shen, Weiwei Xu, Yifan Peng",Machine Learning,Room 204,10:30,60
2025-10-09,Machine Learning and Graphics,Real-Time Physically-Based Relighting and Composition of Radiance Fields with Proxy Meshes,"Yang Xu, Jinyang Bo, Junfeng Wang, He Tian, Yuhe Zhang, Kang Li, Guohua Geng",Machine Learning,Room 204,10:30,60
2025-10-09,Machine Learning and Graphics,Parameter-Free Neural Lens Blur Rendering for High-Fidelity Composites,"Lingyan Ruan, Bin Chen, Taehyun James Rhee",Machine Learning,Room 204,10:30,60
2025-10-09,Machine Learning and Graphics,Radiance Fields in XR: A Survey,"Ke Li, Mana Masuda, Susanne Schmidt, Shohei Mori",Machine Learning,Room 204,10:30,60
2025-10-09,Video Presentations 1: Human Factors and XR,How Spatial Ability Affects Response to Gaze-Adaptive Cueing in MR Navigation,"Yu Zhao, Bobby Bodenheimer",Human Factors,Room 205,10:30,60
